===== No 20 Top 50 Capital Cities by Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
139   Alger                     Algeria                                  Alger                Northern Africa                Africa          2168000   
140   Luanda                    Angola                                   Luanda               Central Africa                 Africa          2022000   
141   Tripoli                   Libyan Arab Jamahiriya                   Tripoli              Northern Africa                Africa          1682000   
142   Harare                    Zimbabwe                                 Harare               Eastern Africa                 Africa          1410000   
143   Yaoundé                   Cameroon                                 Centre               Central Africa                 Africa          1372800   
144   Lusaka                    Zambia                                   Lusaka               Eastern Africa                 Africa          1317000   
145   Conakry                   Guinea                                   Conakry              Western Africa                 Africa          1090610   
146   Accra                     Ghana                                    Greater Accra        Western Africa                 Africa          1070000   
147   Maputo                    Mozambique                               Maputo               Eastern Africa                 Africa          1018938   
148   Mogadishu                 Somalia                                  Banaadir             Eastern Africa                 Africa          997000    
149   Brazzaville               Congo                                    Brazzaville          Central Africa                 Africa          950000    
150   Khartum                   Sudan                                    Khartum              Northern Africa                Africa          947483    
151   Kampala                   Uganda                                   Central              Eastern Africa                 Africa          890800    
152   Monrovia                  Liberia                                  Montserrado          Western Africa                 Africa          850000    
153   Freetown                  Sierra Leone                             Western              Western Africa                 Africa          850000    
154   Ouagadougou               Burkina Faso                             Kadiogo              Western Africa                 Africa          824000    
155   Bamako                    Mali                                     Bamako               Western Africa                 Africa          809552    
156   Dakar                     Senegal                                  Cap-Vert             Western Africa                 Africa          785071    
157   Tunis                     Tunisia                                  Tunis                Northern Africa                Africa          690600    
158   Antananarivo              Madagascar                               Antananarivo         Eastern Africa                 Africa          675669    
159   Nouakchott                Mauritania                               Nouakchott           Western Africa                 Africa          667300    
160   Pretoria                  South Africa                             Gauteng              Southern Africa                Africa          658630    
161   Rabat                     Morocco                                  Rabat-Salé-Zammour-Z Northern Africa                Africa          623457    
162   N´Djaména                 Chad                                     Chari-Baguirmi       Central Africa                 Africa          530965    
163   Bangui                    Central African Republic                 Bangui               Central Africa                 Africa          524000    
164   Lilongwe                  Malawi                                   Lilongwe             Eastern Africa                 Africa          435964    
165   Asmara                    Eritrea                                  Maekel               Eastern Africa                 Africa          431000    
166   Niamey                    Niger                                    Niamey               Western Africa                 Africa          420000    
167   Libreville                Gabon                                    Estuaire             Central Africa                 Africa          419000    
168   Djibouti                  Djibouti                                 Djibouti             Eastern Africa                 Africa          383000    
169   Lomé                      Togo                                     Maritime             Western Africa                 Africa          375000    
170   Abuja                     Nigeria                                  Federal Capital Dist Western Africa                 Africa          350100    
171   Bujumbura                 Burundi                                  Bujumbura            Eastern Africa                 Africa          300000    
172   Maseru                    Lesotho                                  Maseru               Southern Africa                Africa          297000    
173   Kigali                    Rwanda                                   Kigali               Eastern Africa                 Africa          286000    
174   Bissau                    Guinea-Bissau                            Bissau               Western Africa                 Africa          241000    
175   Gaborone                  Botswana                                 Gaborone             Southern Africa                Africa          213017    
176   Porto-Novo                Benin                                    Ouémé                Western Africa                 Africa          194000    
177   Dodoma                    Tanzania                                 Dodoma               Eastern Africa                 Africa          189000    
178   El-Aaiún                  Western Sahara                           El-Aaiún             Northern Africa                Africa          169000    
179   Windhoek                  Namibia                                  Khomas               Southern Africa                Africa          169000    
180   Port-Louis                Mauritius                                Port-Louis           Eastern Africa                 Africa          138200    
181   Saint-Denis               Réunion                                  Saint-Denis          Eastern Africa                 Africa          131480    
182   Yamoussoukro              Côte d’Ivoire                            Yamoussoukro         Western Africa                 Africa          130000    
183   Praia                     Cape Verde                               São Tiago            Western Africa                 Africa          94800     
184   Mbabane                   Swaziland                                Hhohho               Southern Africa                Africa          61000     
185   São Tomé                  Sao Tome and Principe                    Aqua Grande          Central Africa                 Africa          49541     
186   Banjul                    Gambia                                   Banjul               Western Africa                 Africa          42326     
187   Victoria                  Seychelles                               Mahé                 Eastern Africa                 Africa          41000     
188   Malabo                    Equatorial Guinea                        Bioko                Central Africa                 Africa          40000     
189   Moroni                    Comoros                                  Njazidja             Eastern Africa                 Africa          36000     
190   Mamoutzou                 Mayotte                                  Mamoutzou            Eastern Africa                 Africa          12000     
191   Jamestown                 Saint Helena                             Saint Helena         Western Africa                 Africa          1500      
192   Canberra                  Australia                                Capital Region       Australia and New Zealand      Oceania         322723    
193   Port Moresby              Papua New Guinea                         National Capital Dis Melanesia                      Oceania         247000    
194   Wellington                New Zealand                              Wellington           Australia and New Zealand      Oceania         166700    
195   Suva                      Fiji Islands                             Central              Melanesia                      Oceania         77366     
196   Nouméa                    New Caledonia                            –                    Melanesia                      Oceania         76293     
197   Honiara                   Solomon Islands                          Honiara              Melanesia                      Oceania         50100     
198   Apia                      Samoa                                    Upolu                Polynesia                      Oceania         35900     
199   Port-Vila                 Vanuatu                                  Shefa                Melanesia                      Oceania         33700     
200   Dalap-Uliga-Darrit        Marshall Islands                         Majuro               Micronesia                     Oceania         28000     
201   Papeete                   French Polynesia                         Tahiti               Polynesia                      Oceania         25553     
202   Nuku´alofa                Tonga                                    Tongatapu            Polynesia                      Oceania         22400     
203   Koror                     Palau                                    Koror                Micronesia                     Oceania         12000     
